match_id,date_utc,competition,home,away,home_goals,away_goals,actual_result,total_goals,btts_actual,over_0_5_actual,over_1_5_actual,over_2_5_actual,over_3_5_actual,actual_advancing_team,result_semantics,evaluation_eligible_1x2,had_extra_time,had_penalties,penalties_home,penalties_away,result_source,last_updated
wc2026_40,2026-06-22,FIFA World Cup,New Zealand,Egypt,1,3,away_win,4,1,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_41,2026-06-22,FIFA World Cup,Argentina,Austria,2,0,home_win,2,0,1,1,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_42,2026-06-22,FIFA World Cup,France,Iraq,3,0,home_win,3,0,1,1,1,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_43,2026-06-23,FIFA World Cup,Norway,Senegal,3,2,home_win,5,1,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_44,2026-06-23,FIFA World Cup,Jordan,Algeria,1,2,away_win,3,1,1,1,1,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_45,2026-06-23,FIFA World Cup,Portugal,Uzbekistan,5,0,home_win,5,0,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_46,2026-06-23,FIFA World Cup,England,Ghana,0,0,draw,0,0,0,0,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_47,2026-06-24,FIFA World Cup,Panama,Croatia,0,1,away_win,1,0,1,0,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_48,2026-06-24,FIFA World Cup,Colombia,DR Congo,1,0,home_win,1,0,1,0,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_49,2026-06-24,FIFA World Cup,Switzerland,Canada,2,1,home_win,3,1,1,1,1,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_50,2026-06-24,FIFA World Cup,Bosnia and Herzegovina,Qatar,3,1,home_win,4,1,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_51,2026-06-25,FIFA World Cup,Scotland,Brazil,0,3,away_win,3,0,1,1,1,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_52,2026-06-25,FIFA World Cup,Morocco,Haiti,4,2,home_win,6,1,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_53,2026-06-25,FIFA World Cup,Czechia,Mexico,0,3,away_win,3,0,1,1,1,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_54,2026-06-25,FIFA World Cup,South Africa,South Korea,1,0,home_win,1,0,1,0,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_55,2026-06-25,FIFA World Cup,Ecuador,Germany,2,1,home_win,3,1,1,1,1,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_56,2026-06-25,FIFA World Cup,Curacao,Ivory Coast,0,2,away_win,2,0,1,1,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_58,2026-06-26,FIFA World Cup,Tunisia,Netherlands,1,3,away_win,4,1,1,1,1,1,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
wc2026_57,2026-06-26,FIFA World Cup,Japan,Sweden,1,1,draw,2,1,1,1,0,0,,90-minute regular time,True,False,False,,,genui_worldcup_schedule_2026_07_08,2026-07-08T16:57:49+00:00
