team,reference_date,behavior_window_start,behavior_window_end,matches_available_all_time,matches_used_recent,oldest_match_used,latest_match_used,behavior_config_name,n_matches,weighted_goals_for,weighted_goals_for_raw,weighted_goals_for_adjusted,weighted_goals_against,weighted_goals_against_raw,weighted_goals_against_adjusted,weighted_goal_difference,all_time_goals_for,all_time_goals_against,attack_index,attack_index_raw,attack_index_adjusted_old,attack_index_adjusted,attack_index_residual,attack_index_final,defense_index,defense_index_raw,defense_index_adjusted_old,defense_index_adjusted,defense_index_residual,defense_index_final,weighted_goal_for_residual,weighted_goal_against_residual,weighted_result_residual,residual_coverage_recent,recent_form_index,weighted_btts_rate,weighted_over_2_5_rate,clean_sheet_rate,failed_to_score_rate,environment_response_index,environment_sample_size,attack_data_quality,defense_data_quality,form_data_quality,environment_data_quality,overall_data_quality,behavior_warning,sample_size_warning,staleness_warning,opponent_quality_warning,mean_opponent_elo_recent,median_opponent_elo_recent,min_opponent_elo_recent,max_opponent_elo_recent,opponent_elo_coverage_recent,strong_opponent_match_count,weak_opponent_match_count,schedule_strength_label,schedule_strength_warning,opponent_adjustment_warning,residual_warning,last_updated
Fiji,2026-06-21,2022-06-21,2026-06-21,268,31,2022-09-17,2026-06-06,calibrated_4y_40m_hl365,31,1.026,1.031,1.026,1.883,1.863,1.883,-0.857,2.269,1.638,0.417,0.403,0.397,0.397,0.451,0.417,0.226,0.259,0.255,0.255,0.148,0.226,-0.146,1.057,-0.218,1.0,0.28,0.464,0.541,0.14,0.409,0.5,0,high,high,high,none,high,Recent goals-for differs from all-time by -1.24.,,,,1494.797,1518.722,1114.523,1766.46,1.0,1,3,average,,,,2026-06-20T23:36:25+00:00
Finland,2026-06-21,2022-06-21,2026-06-21,818,40,2022-09-23,2026-06-05,calibrated_4y_40m_hl365,40,1.068,1.047,1.068,1.486,1.681,1.486,-0.419,1.174,2.048,0.438,0.452,0.465,0.465,0.407,0.438,0.368,0.341,0.392,0.392,0.431,0.368,-0.28,0.206,-0.048,1.0,0.344,0.449,0.562,0.186,0.366,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Defense index increased after opponent-quality adjustment.; Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1623.242,1663.651,914.041,1979.835,1.0,19,7,strong,Recent schedule skews toward strong opponents.,Defense index increased after opponent-quality adjustment.,Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
France,2026-06-21,2022-06-21,2026-06-21,936,40,2023-03-27,2026-06-16,calibrated_4y_40m_hl365,40,2.532,2.297,2.532,0.82,0.917,0.82,1.712,1.835,1.293,0.801,0.861,0.952,0.952,0.661,0.801,0.574,0.597,0.636,0.636,0.52,0.574,0.484,-0.06,0.014,1.0,0.817,0.611,0.729,0.41,0.085,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.; Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1761.105,1790.685,1181.715,2083.833,1.0,27,2,strong,Recent schedule skews toward strong opponents.,Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.,Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Franconia,2026-06-21,2022-06-21,2026-06-21,3,0,,,calibrated_4y_40m_hl365,0,,,,,,,,2.667,3.667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
French Guiana,2026-06-21,2022-06-21,2026-06-21,179,16,2023-03-23,2024-11-19,calibrated_4y_40m_hl365,16,1.313,1.4,1.313,1.7,1.626,1.7,-0.387,1.492,1.709,0.54,0.564,0.532,0.532,0.484,0.54,0.347,0.331,0.309,0.309,0.384,0.347,-0.049,0.348,-0.256,1.0,0.25,0.626,0.63,0.175,0.33,0.5,0,low,low,low,none,low,Latest match is 579 days before reference date.; Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment.,,Latest match is 579 days before reference date.,,1408.526,1402.479,1277.779,1614.054,1.0,0,7,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Frøya,2026-06-21,2022-06-21,2026-06-21,37,7,2023-07-10,2025-07-17,calibrated_4y_40m_hl365,7,0.421,0.41,0.421,3.511,3.393,3.511,-3.09,1.622,3.946,0.195,0.174,0.181,0.181,0.243,0.195,0.0,0.0,0.0,0.0,0.0,0.0,-0.77,3.638,-0.298,1.0,0.023,0.288,0.97,0.0,0.712,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; Recent goals-for differs from all-time by -1.20.; Recent schedule skews toward weak opponents.; Attack boosted by opponent adjustment but goal residual is negative.,Fewer than 8 recent matches; behavior is insufficient.,,,1439.269,1392.145,1354.85,1653.856,1.0,0,0,weak,Recent schedule skews toward weak opponents.,,Attack boosted by opponent adjustment but goal residual is negative.,2026-06-20T23:36:25+00:00
Gabon,2026-06-21,2022-06-21,2026-06-21,405,33,2022-11-17,2026-03-30,calibrated_4y_40m_hl365,33,1.705,1.769,1.705,1.602,1.716,1.602,0.102,1.178,1.195,0.673,0.701,0.685,0.685,0.609,0.673,0.367,0.368,0.389,0.389,0.364,0.367,0.326,0.408,-0.045,1.0,0.432,0.575,0.674,0.305,0.174,0.5,0,high,high,high,none,high,Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1511.118,1473.537,1088.878,1853.907,1.0,7,2,average,,,Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Galicia,2026-06-21,2022-06-21,2026-06-21,12,1,2024-05-21,2024-05-21,calibrated_4y_40m_hl365,1,0.0,0.0,0.0,1.715,2.0,1.715,-1.715,1.75,1.917,0.046,0.0,0.0,0.0,0.154,0.046,0.195,0.1,0.186,0.186,0.418,0.195,-1.039,0.246,-0.24,1.0,0.014,0.0,0.0,0.0,1.0,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; Latest match is 761 days before reference date.; Recent goals-for differs from all-time by -1.75.; Recent schedule skews toward strong opponents.; Defense index increased after opponent-quality adjustment.; Defense boosted by opponent adjustment but goals-against residual is poor. Large raw-vs-residual defense disagreement.,Fewer than 8 recent matches; behavior is insufficient.,Latest match is 761 days before reference date.,,1765.582,1765.582,1765.582,1765.582,1.0,1,0,strong,Recent schedule skews toward strong opponents.,Defense index increased after opponent-quality adjustment.,Defense boosted by opponent adjustment but goals-against residual is poor. Large raw-vs-residual defense disagreement.,2026-06-20T23:36:25+00:00
Gambia,2026-06-21,2022-06-21,2026-06-21,266,29,2022-11-20,2026-05-29,calibrated_4y_40m_hl365,29,2.007,1.975,2.007,1.569,1.67,1.569,0.438,1.049,1.391,0.776,0.755,0.754,0.754,0.824,0.776,0.381,0.36,0.38,0.38,0.43,0.381,0.972,0.21,0.046,1.0,0.439,0.655,0.69,0.222,0.101,0.5,0,high,high,high,none,high,Recent goals-for differs from all-time by +0.96.; Defense boosted by opponent adjustment but goals-against residual is poor.,,,,1539.822,1516.415,1077.165,1846.89,1.0,7,3,average,,,Defense boosted by opponent adjustment but goals-against residual is poor.,2026-06-20T23:36:25+00:00
Georgia,2026-06-21,2022-06-21,2026-06-21,307,40,2022-09-23,2026-06-05,calibrated_4y_40m_hl365,40,1.507,1.434,1.507,1.419,1.642,1.419,0.088,1.248,1.404,0.581,0.591,0.627,0.627,0.559,0.581,0.389,0.372,0.43,0.43,0.429,0.389,0.177,0.212,-0.048,1.0,0.406,0.526,0.591,0.288,0.204,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.; Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1662.023,1683.771,1178.471,2109.912,1.0,20,4,strong,Recent schedule skews toward strong opponents.,Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.,Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
