team,reference_date,behavior_window_start,behavior_window_end,matches_available_all_time,matches_used_recent,oldest_match_used,latest_match_used,behavior_config_name,n_matches,weighted_goals_for,weighted_goals_for_raw,weighted_goals_for_adjusted,weighted_goals_against,weighted_goals_against_raw,weighted_goals_against_adjusted,weighted_goal_difference,all_time_goals_for,all_time_goals_against,attack_index,attack_index_raw,attack_index_adjusted_old,attack_index_adjusted,attack_index_residual,attack_index_final,defense_index,defense_index_raw,defense_index_adjusted_old,defense_index_adjusted,defense_index_residual,defense_index_final,weighted_goal_for_residual,weighted_goal_against_residual,weighted_result_residual,residual_coverage_recent,recent_form_index,weighted_btts_rate,weighted_over_2_5_rate,clean_sheet_rate,failed_to_score_rate,environment_response_index,environment_sample_size,attack_data_quality,defense_data_quality,form_data_quality,environment_data_quality,overall_data_quality,behavior_warning,sample_size_warning,staleness_warning,opponent_quality_warning,mean_opponent_elo_recent,median_opponent_elo_recent,min_opponent_elo_recent,max_opponent_elo_recent,opponent_elo_coverage_recent,strong_opponent_match_count,weak_opponent_match_count,schedule_strength_label,schedule_strength_warning,opponent_adjustment_warning,residual_warning,last_updated
Kosovo,2026-06-21,2022-06-21,2026-06-21,104,37,2022-09-24,2026-06-07,calibrated_4y_40m_hl365,37,1.598,1.566,1.598,0.994,1.125,0.994,0.605,1.462,1.337,0.591,0.591,0.617,0.617,0.592,0.591,0.568,0.551,0.59,0.59,0.608,0.568,0.275,-0.324,0.213,1.0,0.599,0.376,0.457,0.44,0.3,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Defense index increased after opponent-quality adjustment.,,,,1576.803,1606.432,1150.728,1884.5,1.0,13,5,strong,Recent schedule skews toward strong opponents.,Defense index increased after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Kurdistan,2026-06-21,2022-06-21,2026-06-21,5,0,,,calibrated_4y_40m_hl365,0,,,,,,,,2.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Kuwait,2026-06-21,2022-06-21,2026-06-21,684,40,2023-06-21,2026-06-05,calibrated_4y_40m_hl365,40,1.163,1.123,1.163,1.638,1.792,1.638,-0.476,1.56,1.126,0.484,0.485,0.507,0.507,0.48,0.484,0.328,0.285,0.322,0.322,0.43,0.328,-0.06,0.209,0.027,1.0,0.28,0.595,0.536,0.137,0.306,0.5,0,high,high,high,none,high,Defense index increased after opponent-quality adjustment.; Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1557.408,1578.737,1089.132,1857.255,1.0,10,5,average,,Defense index increased after opponent-quality adjustment.,Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor. Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Kyrgyzstan,2026-06-21,2022-06-21,2026-06-21,191,33,2022-09-24,2026-06-09,calibrated_4y_40m_hl365,33,1.11,1.05,1.11,1.368,1.456,1.368,-0.258,1.152,1.681,0.45,0.444,0.467,0.467,0.464,0.45,0.452,0.421,0.444,0.444,0.523,0.452,-0.107,-0.069,0.011,1.0,0.288,0.518,0.402,0.23,0.408,0.5,0,high,high,high,none,high,Attack boosted by opponent adjustment but goal residual is negative.,,,,1572.982,1555.113,1154.223,1879.946,1.0,8,4,average,,,Attack boosted by opponent adjustment but goal residual is negative.,2026-06-20T23:36:25+00:00
Kárpátalja,2026-06-21,2022-06-21,2026-06-21,11,0,,,calibrated_4y_40m_hl365,0,,,,,,,,2.273,1.182,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Laos,2026-06-21,2022-06-21,2026-06-21,224,23,2022-09-24,2025-11-19,calibrated_4y_40m_hl365,23,0.71,0.796,0.71,2.737,2.626,2.737,-2.026,1.013,3.129,0.387,0.356,0.317,0.317,0.458,0.387,0.103,0.054,0.047,0.047,0.217,0.103,-0.125,0.849,0.031,1.0,0.096,0.547,0.713,0.0,0.453,0.5,0,moderate,moderate,moderate,none,moderate,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment.,,,,1304.248,1294.782,958.99,1565.773,1.0,0,13,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Latvia,2026-06-21,2022-06-21,2026-06-21,461,36,2022-09-22,2026-06-09,calibrated_4y_40m_hl365,36,0.544,0.586,0.544,1.55,1.575,1.55,-1.006,1.174,1.657,0.289,0.276,0.257,0.257,0.319,0.289,0.412,0.36,0.367,0.367,0.531,0.412,-0.544,-0.094,-0.076,1.0,0.16,0.407,0.373,0.125,0.508,0.5,0,high,high,high,none,high,Recent schedule includes both strong and weak opponents.,,,,1539.615,1558.72,1073.881,1995.657,1.0,11,9,mixed,Recent schedule includes both strong and weak opponents.,,,2026-06-20T23:36:25+00:00
Lebanon,2026-06-21,2022-06-21,2026-06-21,333,35,2022-11-19,2025-11-26,calibrated_4y_40m_hl365,35,1.453,1.784,1.453,0.608,0.612,0.608,0.845,1.156,1.408,0.606,0.637,0.516,0.516,0.535,0.606,0.72,0.74,0.707,0.707,0.672,0.72,0.104,-0.517,-0.02,1.0,0.502,0.189,0.553,0.564,0.32,0.5,0,moderate,moderate,moderate,none,moderate,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,,,1409.031,1485.399,953.013,1825.512,1.0,2,12,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Lesotho,2026-06-21,2022-06-21,2026-06-21,296,36,2022-07-06,2026-06-04,calibrated_4y_40m_hl365,36,0.722,0.707,0.722,1.413,1.456,1.413,-0.691,0.777,1.574,0.326,0.315,0.32,0.32,0.351,0.326,0.463,0.438,0.451,0.451,0.522,0.463,-0.447,-0.067,0.042,1.0,0.297,0.312,0.425,0.316,0.462,0.5,0,high,high,high,none,high,Attack boosted by opponent adjustment but goal residual is negative.,,,,1509.382,1474.723,1240.281,1859.723,1.0,3,2,average,,,Attack boosted by opponent adjustment but goal residual is negative.,2026-06-20T23:36:25+00:00
Liberia,2026-06-21,2022-06-21,2026-06-21,302,30,2022-09-25,2026-06-09,calibrated_4y_40m_hl365,30,1.137,1.164,1.137,1.405,1.444,1.405,-0.268,0.894,1.474,0.482,0.483,0.472,0.472,0.479,0.482,0.421,0.379,0.388,0.388,0.519,0.421,-0.062,-0.057,0.034,1.0,0.338,0.545,0.537,0.073,0.386,0.5,0,high,high,high,none,high,,,,,1518.4,1510.833,1112.233,1851.557,1.0,6,4,average,,,,2026-06-20T23:36:25+00:00
Libya,2026-06-21,2022-06-21,2026-06-21,384,32,2022-09-21,2026-03-31,calibrated_4y_40m_hl365,32,1.088,1.092,1.088,0.855,0.887,0.855,0.232,1.302,1.214,0.444,0.467,0.464,0.464,0.389,0.444,0.637,0.635,0.636,0.636,0.641,0.637,-0.333,-0.422,0.038,1.0,0.439,0.408,0.322,0.508,0.347,0.5,0,high,high,high,none,high,,,,,1506.616,1486.072,1252.863,1783.57,1.0,3,3,average,,,,2026-06-20T23:36:25+00:00
Liechtenstein,2026-06-21,2022-06-21,2026-06-21,259,37,2022-09-22,2026-06-07,calibrated_4y_40m_hl365,37,0.234,0.264,0.234,2.583,2.573,2.583,-2.349,0.405,2.803,0.179,0.126,0.112,0.112,0.304,0.179,0.145,0.09,0.087,0.087,0.274,0.145,-0.587,0.677,-0.014,1.0,0.074,0.159,0.578,0.106,0.755,0.5,0,high,high,high,none,high,,,,,1479.49,1497.291,915.959,1987.507,1.0,7,12,average,,,,2026-06-20T23:36:25+00:00
Lithuania,2026-06-21,2022-06-21,2026-06-21,433,38,2022-09-22,2026-06-09,calibrated_4y_40m_hl365,38,0.718,0.703,0.718,1.472,1.6,1.472,-0.754,0.995,1.815,0.339,0.326,0.333,0.333,0.37,0.339,0.406,0.344,0.377,0.377,0.551,0.406,-0.391,-0.154,-0.049,1.0,0.175,0.439,0.361,0.151,0.477,0.5,0,high,high,high,none,high,Defense index increased after opponent-quality adjustment.; Attack boosted by opponent adjustment but goal residual is negative.,,,,1548.573,1560.245,1172.824,1940.642,1.0,11,8,average,,Defense index increased after opponent-quality adjustment.,Attack boosted by opponent adjustment but goal residual is negative.,2026-06-20T23:36:25+00:00
Luhansk PR,2026-06-21,2022-06-21,2026-06-21,6,0,,,calibrated_4y_40m_hl365,0,,,,,,,,1.5,2.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Luxembourg,2026-06-21,2022-06-21,2026-06-21,467,36,2022-09-22,2026-06-06,calibrated_4y_40m_hl365,36,0.427,0.414,0.427,1.415,1.599,1.415,-0.989,0.634,2.578,0.211,0.181,0.188,0.188,0.279,0.211,0.408,0.356,0.405,0.405,0.532,0.408,-0.664,-0.096,-0.056,1.0,0.183,0.185,0.266,0.177,0.7,0.5,0,high,high,high,none,high,Recent goals-against differs from all-time by -1.16.; Recent schedule skews toward strong opponents.; Defense index increased after opponent-quality adjustment.; Attack boosted by opponent adjustment but goal residual is negative.,,,,1638.012,1633.441,1083.555,2050.893,1.0,13,4,strong,Recent schedule skews toward strong opponents.,Defense index increased after opponent-quality adjustment.,Attack boosted by opponent adjustment but goal residual is negative.,2026-06-20T23:36:25+00:00
Macau,2026-06-21,2022-06-21,2026-06-21,148,12,2023-03-26,2026-03-29,calibrated_4y_40m_hl365,12,0.32,0.394,0.32,3.286,3.132,3.286,-2.966,0.77,3.095,0.221,0.19,0.155,0.155,0.293,0.221,0.033,0.047,0.012,0.012,0.0,0.033,-0.622,1.878,-0.195,1.0,0.005,0.394,0.783,0.028,0.606,0.5,0,low,low,low,none,low,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,,,1169.634,1165.498,945.043,1423.151,1.0,0,11,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Madagascar,2026-06-21,2022-06-21,2026-06-21,320,35,2022-07-12,2026-06-02,calibrated_4y_40m_hl365,35,1.514,1.568,1.514,1.504,1.596,1.504,0.01,1.356,1.512,0.615,0.614,0.595,0.595,0.615,0.615,0.408,0.387,0.409,0.409,0.457,0.408,0.346,0.129,0.125,1.0,0.489,0.589,0.619,0.186,0.258,0.5,0,high,high,high,none,high,Defense boosted by opponent adjustment but goals-against residual is poor.,,,,1503.023,1476.136,1129.121,1917.163,1.0,3,4,average,,,Defense boosted by opponent adjustment but goals-against residual is poor.,2026-06-20T23:36:25+00:00
Madrid,2026-06-21,2022-06-21,2026-06-21,1,0,,,calibrated_4y_40m_hl365,0,,,,,,,,1.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Malawi,2026-06-21,2022-06-21,2026-06-21,644,35,2022-07-06,2026-06-09,calibrated_4y_40m_hl365,35,0.931,0.955,0.931,1.062,1.048,1.062,-0.131,1.169,1.292,0.387,0.395,0.384,0.384,0.369,0.387,0.563,0.54,0.538,0.538,0.615,0.563,-0.394,-0.344,-0.072,1.0,0.354,0.309,0.366,0.25,0.509,0.5,0,high,high,high,none,high,,,,,1472.96,1437.685,1117.57,1799.447,1.0,6,5,average,,,,2026-06-20T23:36:25+00:00
Malaysia,2026-06-21,2022-06-21,2026-06-21,835,40,2022-12-21,2025-11-18,calibrated_4y_40m_hl365,40,1.749,1.972,1.749,0.906,0.867,0.906,0.843,1.632,1.45,0.695,0.721,0.624,0.624,0.636,0.695,0.625,0.637,0.609,0.609,0.596,0.625,0.407,-0.288,0.085,1.0,0.628,0.377,0.556,0.4,0.182,0.5,0,moderate,moderate,moderate,none,moderate,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment.,,,,1401.796,1454.474,975.645,1852.274,1.0,2,16,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Maldives,2026-06-21,2022-06-21,2026-06-21,233,23,2022-09-21,2026-06-01,calibrated_4y_40m_hl365,23,0.329,0.419,0.329,2.225,1.979,2.225,-1.896,1.189,2.258,0.192,0.175,0.139,0.139,0.231,0.192,0.259,0.22,0.149,0.149,0.352,0.259,-0.806,0.444,-0.261,1.0,0.069,0.184,0.47,0.07,0.724,0.5,0,moderate,moderate,moderate,none,moderate,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,,,1205.833,1152.766,956.575,1479.898,1.0,0,18,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Mali,2026-06-21,2022-06-21,2026-06-21,569,40,2022-09-23,2026-06-04,calibrated_4y_40m_hl365,40,1.305,1.294,1.305,0.595,0.66,0.595,0.71,1.311,1.1,0.477,0.494,0.499,0.499,0.436,0.477,0.692,0.692,0.704,0.704,0.692,0.692,-0.191,-0.577,-0.027,1.0,0.513,0.357,0.272,0.438,0.375,0.5,0,high,high,high,none,high,Attack boosted by opponent adjustment but goal residual is negative. Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1550.443,1505.58,1298.974,1904.574,1.0,7,5,average,,,Attack boosted by opponent adjustment but goal residual is negative. Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Malta,2026-06-21,2022-06-21,2026-06-21,458,35,2022-09-23,2026-06-05,calibrated_4y_40m_hl365,35,0.806,0.809,0.806,1.559,1.717,1.559,-0.753,0.651,2.242,0.383,0.365,0.366,0.366,0.425,0.383,0.398,0.364,0.403,0.403,0.476,0.398,-0.226,0.071,0.109,1.0,0.282,0.34,0.431,0.299,0.434,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Defense index increased after opponent-quality adjustment.; Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor.,,,,1582.354,1600.154,945.078,2012.482,1.0,13,7,strong,Recent schedule skews toward strong opponents.,Defense index increased after opponent-quality adjustment.,Attack boosted by opponent adjustment but goal residual is negative. Defense boosted by opponent adjustment but goals-against residual is poor.,2026-06-20T23:36:25+00:00
Manchukuo,2026-06-21,2022-06-21,2026-06-21,3,0,,,calibrated_4y_40m_hl365,0,,,,,,,,0.0,5.333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Mapuche,2026-06-21,2022-06-21,2026-06-21,2,0,,,calibrated_4y_40m_hl365,0,,,,,,,,1.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Marshall Islands,2026-06-21,2022-06-21,2026-06-21,2,2,2025-08-14,2025-08-16,calibrated_4y_40m_hl365,2,0.754,1.003,0.754,3.875,3.499,3.875,-3.12,1.0,3.5,0.348,0.447,0.337,0.337,0.116,0.348,0.0,0.0,0.0,0.0,0.0,0.0,-1.151,2.65,-0.91,1.0,0.0,0.501,1.0,0.0,0.499,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment.; Large raw-vs-residual attack disagreement.,Fewer than 8 recent matches; behavior is insufficient.,,,1065.646,1065.646,1027.653,1103.638,1.0,0,2,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment.,Large raw-vs-residual attack disagreement.,2026-06-20T23:36:25+00:00
Martinique,2026-06-21,2022-06-21,2026-06-21,331,21,2023-03-25,2026-03-29,calibrated_4y_40m_hl365,21,0.663,0.685,0.663,1.246,1.219,1.246,-0.583,1.77,1.302,0.287,0.298,0.29,0.29,0.26,0.287,0.48,0.464,0.456,0.456,0.519,0.48,-0.72,-0.057,-0.261,1.0,0.224,0.306,0.308,0.246,0.61,0.5,0,moderate,moderate,moderate,none,moderate,Recent goals-for differs from all-time by -1.11.,,,,1531.225,1521.536,1320.424,1797.934,1.0,4,1,average,,,,2026-06-20T23:36:25+00:00
Matabeleland,2026-06-21,2022-06-21,2026-06-21,8,0,,,calibrated_4y_40m_hl365,0,,,,,,,,0.875,1.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Maule Sur,2026-06-21,2022-06-21,2026-06-21,2,0,,,calibrated_4y_40m_hl365,0,,,,,,,,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Mauritania,2026-06-21,2022-06-21,2026-06-21,273,39,2022-09-24,2026-06-08,calibrated_4y_40m_hl365,39,0.613,0.598,0.613,1.086,1.183,1.086,-0.473,0.725,1.59,0.283,0.276,0.284,0.284,0.297,0.283,0.545,0.508,0.529,0.529,0.631,0.545,-0.608,-0.394,0.006,1.0,0.298,0.262,0.228,0.372,0.55,0.5,0,high,high,high,none,high,Attack boosted by opponent adjustment but goal residual is negative.,,,,1577.475,1545.399,1292.754,2054.997,1.0,9,2,average,,,Attack boosted by opponent adjustment but goal residual is negative.,2026-06-20T23:36:25+00:00
Mauritius,2026-06-21,2022-06-21,2026-06-21,325,28,2022-07-06,2025-10-13,calibrated_4y_40m_hl365,28,0.545,0.588,0.545,1.578,1.59,1.578,-1.032,1.268,1.609,0.279,0.247,0.231,0.231,0.352,0.279,0.411,0.342,0.346,0.346,0.571,0.411,-0.445,-0.213,0.007,1.0,0.158,0.321,0.343,0.23,0.629,0.5,0,moderate,moderate,moderate,none,moderate,Recent schedule skews toward weak opponents.,,,,1424.896,1411.116,1090.09,1713.575,1.0,1,8,weak,Recent schedule skews toward weak opponents.,,,2026-06-20T23:36:25+00:00
Mayotte,2026-06-21,2022-06-21,2026-06-21,38,2,2023-08-24,2023-08-26,calibrated_4y_40m_hl365,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342,1.474,0.019,0.0,0.0,0.0,0.062,0.019,0.991,1.0,0.997,0.997,0.969,0.991,-1.315,-1.407,0.085,1.0,0.281,0.0,0.0,0.99,1.0,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; Latest match is 1030 days before reference date.; Recent goals-for differs from all-time by -1.34. Recent goals-against differs from all-time by -1.47.,Fewer than 8 recent matches; behavior is insufficient.,Latest match is 1030 days before reference date.,,1483.013,1483.013,1374.488,1591.537,1.0,0,0,average,,,,2026-06-20T23:36:25+00:00
Menorca,2026-06-21,2022-06-21,2026-06-21,25,4,2023-07-09,2023-07-13,calibrated_4y_40m_hl365,4,1.238,1.247,1.238,1.641,1.751,1.641,-0.403,2.24,1.28,0.456,0.426,0.417,0.417,0.525,0.456,0.343,0.34,0.363,0.363,0.351,0.343,0.075,0.446,-0.308,1.0,0.273,0.252,0.75,0.241,0.5,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; Latest match is 1074 days before reference date.; Recent goals-for differs from all-time by -1.00.; Defense boosted by opponent adjustment but goals-against residual is poor.,Fewer than 8 recent matches; behavior is insufficient.,Latest match is 1074 days before reference date.,,1529.72,1465.452,1442.462,1745.513,1.0,1,0,average,,,Defense boosted by opponent adjustment but goals-against residual is poor.,2026-06-20T23:36:25+00:00
Mexico,2026-06-21,2022-06-21,2026-06-21,1006,40,2024-03-21,2026-06-18,calibrated_4y_40m_hl365,40,1.732,1.566,1.732,0.389,0.454,0.389,1.343,1.761,1.048,0.613,0.658,0.738,0.738,0.506,0.613,0.79,0.811,0.857,0.857,0.74,0.79,0.018,-0.72,0.144,1.0,0.829,0.212,0.24,0.845,0.156,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.; Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1776.53,1795.728,1486.712,2010.115,1.0,28,0,strong,Recent schedule skews toward strong opponents.,Attack index increased after opponent-quality adjustment. Defense index increased after opponent-quality adjustment.,Schedule strength may be misleading; residuals do not support the full opponent boost.,2026-06-20T23:36:25+00:00
Micronesia,2026-06-21,2022-06-21,2026-06-21,7,0,,,calibrated_4y_40m_hl365,0,,,,,,,,1.143,8.429,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Moldova,2026-06-21,2022-06-21,2026-06-21,299,37,2022-09-22,2026-06-09,calibrated_4y_40m_hl365,37,0.834,0.852,0.834,2.185,2.255,2.185,-1.351,0.813,1.746,0.4,0.391,0.383,0.383,0.42,0.4,0.159,0.156,0.176,0.176,0.167,0.159,-0.239,1.0,-0.048,1.0,0.149,0.538,0.487,0.079,0.373,0.5,0,high,high,high,none,high,Recent schedule includes both strong and weak opponents.; Defense boosted by opponent adjustment but goals-against residual is poor.,,,,1518.239,1560.637,933.083,1906.067,1.0,12,10,mixed,Recent schedule includes both strong and weak opponents.,,Defense boosted by opponent adjustment but goals-against residual is poor.,2026-06-20T23:36:25+00:00
Monaco,2026-06-21,2022-06-21,2026-06-21,24,0,,,calibrated_4y_40m_hl365,0,,,,,,,,1.708,3.667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.0,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,2026-06-20T23:36:25+00:00
Mongolia,2026-06-21,2022-06-21,2026-06-21,103,13,2023-03-25,2026-06-05,calibrated_4y_40m_hl365,13,0.28,0.368,0.28,2.675,2.568,2.675,-2.395,1.136,3.068,0.185,0.168,0.128,0.128,0.225,0.185,0.113,0.09,0.057,0.057,0.167,0.113,-0.826,1.0,-0.197,1.0,0.078,0.137,0.548,0.076,0.762,0.5,0,low,low,low,none,low,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,,,1265.889,1275.897,939.134,1625.836,1.0,0,8,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,2026-06-20T23:36:25+00:00
Montenegro,2026-06-21,2022-06-21,2026-06-21,170,38,2022-09-23,2026-06-05,calibrated_4y_40m_hl365,38,1.145,1.164,1.145,1.694,1.851,1.694,-0.549,1.182,1.371,0.483,0.506,0.499,0.499,0.43,0.483,0.306,0.28,0.319,0.319,0.366,0.306,-0.209,0.403,-0.054,1.0,0.342,0.456,0.596,0.167,0.372,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Defense index increased after opponent-quality adjustment.; Defense boosted by opponent adjustment but goals-against residual is poor.,,,,1592.712,1646.602,1049.229,1983.239,1.0,14,7,strong,Recent schedule skews toward strong opponents.,Defense index increased after opponent-quality adjustment.,Defense boosted by opponent adjustment but goals-against residual is poor.,2026-06-20T23:36:25+00:00
